exp,subject,session,item,standard,response,key,accuracy,con,con6
1,172,1,14.8.19,A-CED.A,4,4,1,2,2
1,097,1,14.8.19,A-CED.A,1,4,0,5,5
1,378,1,14.8.19,A-CED.A,4,4,1,4,4
1,233,1,14.8.19,A-CED.A,4,4,1,5,5
1,416,1,14.8.19,A-CED.A,4,4,1,5,5
1,094,1,14.8.19,A-CED.A,4,4,1,4,4
1,109,1,14.8.19,A-CED.A,4,4,1,4,4
1,132,1,14.8.19,A-CED.A,4,4,1,2,2
1,047,1,14.8.19,A-CED.A,4,4,1,3,3
1,125,1,14.8.19,A-CED.A,3,4,0,4,4
1,086,1,14.8.19,A-CED.A,4,4,1,3,3
1,377,1,14.8.19,A-CED.A,4,4,1,1,1
1,220,1,14.8.19,A-CED.A,4,4,1,4,4
1,419,1,14.8.19,A-CED.A,1,4,0,5,5
1,369,1,14.8.19,A-CED.A,4,4,1,4,4
1,039,1,14.8.19,A-CED.A,1,4,0,4,4
1,071,1,14.8.19,A-CED.A,4,4,1,4,4
1,420,1,14.8.19,A-CED.A,4,4,1,5,5
1,010,1,14.8.19,A-CED.A,4,4,1,2,2
1,353,1,14.8.19,A-CED.A,2,4,0,0,0
1,018,1,14.8.19,A-CED.A,4,4,1,4,4
1,427,1,14.8.19,A-CED.A,2,4,0,0,0
1,403,1,14.8.19,A-CED.A,4,4,1,5,5
1,238,1,14.8.19,A-CED.A,4,4,1,5,5
1,064,1,14.8.19,A-CED.A,4,4,1,5,5
1,195,1,14.8.19,A-CED.A,4,4,1,4,4
1,018,2,14.6.12,A-SSE.B,3,3,1,5,5
1,403,2,14.6.12,A-SSE.B,3,3,1,5,5
1,334,2,14.6.12,A-SSE.B,3,3,1,5,5
1,028,2,14.6.12,A-SSE.B,3,3,1,5,5
1,039,2,14.6.12,A-SSE.B,2,3,0,5,5
1,419,2,14.6.12,A-SSE.B,2,3,0,5,5
1,087,2,14.6.12,A-SSE.B,3,3,1,5,5
1,353,2,14.6.12,A-SSE.B,2,3,0,3,3
1,408,2,14.6.12,A-SSE.B,2,3,0,2,2
1,010,2,14.6.12,A-SSE.B,3,3,1,5,5
1,369,2,14.6.12,A-SSE.B,2,3,0,0,0
1,098,2,14.6.12,A-SSE.B,2,3,0,4,4
1,071,2,14.6.12,A-SSE.B,2,3,0,5,5
1,427,2,14.6.12,A-SSE.B,2,3,0,4,4
1,238,2,14.6.12,A-SSE.B,2,3,0,5,5
1,125,2,14.6.12,A-SSE.B,3,3,1,4,4
1,420,2,14.6.12,A-SSE.B,2,3,0,4,4
1,133,2,14.6.12,A-SSE.B,2,3,0,3,3
1,305,2,14.6.12,A-SSE.B,2,3,0,2,2
1,086,2,14.6.12,A-SSE.B,3,3,1,5,5
1,377,2,14.6.12,A-SSE.B,3,3,1,4,4
1,047,2,14.6.12,A-SSE.B,2,3,0,5,5
1,032,2,14.6.12,A-SSE.B,2,3,0,1,1
