exp,test,prob_num,key,standard,regents_ymn
6,3,5,4,A-REI.B,15.6.18
6,3,6,4,A-CED.A,15.6.24
6,3,7,1,A-REI.A,15.6.21
6,3,8,2,A-CED.A,15.6.19
6,3,9,1,A-REI.B,15.6.23
6,3,10,4,A-SSE.B,15.6.10
6,4,1,4,A-REI.B,15.1.17
6,4,2,1,A-SSE.B,15.8.20
6,4,3,2,A-REI.D,15.8.17
6,4,4,1,A-APR.B,15.1.24
6,4,5,1,A-REI.B,15.1.07
6,4,6,2,A-SSE.A,15.1.01
6,4,7,4,A-CED.A,15.1.23
6,4,8,3,A-REI.D,15.1.18
6,4,9,3,A-CED.A,15.1.13
6,4,10,4,A-SSE.B,15.1.19
